prodid,TCSassetid,FIBEAssetID,vcmassetid,FONSEAssetID,IPVODAssetID,title,contract,licensestart,licenseend,FUTURE,FIBE,ALIANT,FONSE,IPVOD,VCM,VSPP,categories
60D1,2RU0V,2RU0V,74ILV,FONSEAssetID,,The Bingo Long Traveling All-Stars & Motor Kings,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60D3,2RU1V,2RU1V,74IMV,FONSEAssetID,,The Bone Collector,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60D5,2RU2V,2RU2V,6ZOWV,FONSEAssetID,,Big Top Pee-Wee,851,2013/11/14 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60EB,2RWAV,2RWAV,A2NXV,FONSEAssetID,,Backdraft,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60G8,2RXXV,2RXXV,74IOV,FONSEAssetID,,Monty Python's The Meaning of Life,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60H5,2S0GV,2S0GV,75AUV,FONSEAssetID,,Mauvais garçons 2(v.fr. de Bad Boys 2),596,2013/11/08 00:00,2032/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60LG,2S8UV,2S8UV,9C6VV,FONSEAssetID,,Carrie (1976),594,2013/11/15 00:01,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60LI,2S8VV,2S8VV,74IPV,FONSEAssetID,,Fear and Loathing in Las Vegas,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60LK,2S8WV,2S8WV,74IQV,FONSEAssetID,,Dante's Peak,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60LM,2S8XV,2S8XV,74IRV,FONSEAssetID,,George A. Romero's Land of the Dead,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60LO,2S8YV,2S8YV,74ISV,FONSEAssetID,,Johnny English,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60LQ,2S8ZV,2S8ZV,75AWV,FONSEAssetID,75AVV,Jack and Jill,596,2013/11/15 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
60LS,2S90V,2S90V,71ARV,FONSEAssetID,,Footloose (2011),851,2013/11/15 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60LU,2S91V,2S91V,6ZPUV,FONSEAssetID,,Chinatown,851,2013/11/15 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60LY,2S96V,2S96V,74ITV,FONSEAssetID,,Dawn of the Dead - Director's Cut (Unrated),570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60M0,2S97V,2S97V,74IUV,FONSEAssetID,,Mystery Men,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60M2,2S98V,2S98V,74IVV,FONSEAssetID,,Kindergarten Cop,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60M4,2S99V,2S99V,74IWV,FONSEAssetID,,Spy Game,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60M6,2S9AV,2S9AV,8AZLV,FONSEAssetID,,The Hunt for Red October,851,2013/11/15 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60MD,2S9MV,2S9MV,74IXV,FONSEAssetID,,Land of the Lost,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60MI,2S9RV,2S9RV,74IYV,FONSEAssetID,,National Lampoon's Animal House,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60MK,2S9SV,2S9SV,75AYV,FONSEAssetID,75AXV,Moneyball,596,2013/11/15 05:01,2036/01/01 04:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
