contractid|providerid|priority|vodtype
1323|astral.com|P3|SVOD
1324|astral.com|P3|SVOD
1325|astral.com|P3|SVOD
1326|astral.com|P3|SVOD
1327|astral.com|P3|SVOD
1328|astral.com|P3|SVOD
1329|astral.com|P3|SVOD
1330|astral.com|P3|SVOD
1334|www.manwin.com|TVOD|TVOD
1335|wnetwork.com|P2|SVOD
1336|nick.com|P2|SVOD
1340|24CH.com|#N/A|SVOD
1341|24CH.com|#N/A|SVOD
1346|TVA_DTVMezz|TVOD|TVOD
1350|www.bellmedia.ca|TVOD|TVOD
1351|encoreave.com|#N/A|SVOD
1359|www.stingray.com|TVOD|TVOD
1360|CP24.ca|P3|SVOD
1361|ctvnews.ca|P3|SVOD
1362|BNN.ca|#N/A|SVOD
1363|RDS.ca|P3|SVOD
1364|kidssuite.com|P2|SVOD
1365|clubjunior.com|#N/A|SVOD
1367|astral.com|P3|SVOD
1368|astral.com|P3|SVOD
1369|24CH_ENVOD.com|#N/A|SVOD
1370|24CH_FRVOD.com|#N/A|SVOD
1371|gusto.com|P3|SVOD
1372|encoreave.com|#N/A|SVOD
1388|CTV7030.ca|TVOD|TVOD
1392|www.level.com|TVOD|TVOD
1397|www.funfilm.ca|TVOD|TVOD
1404|travelandescape.ca|P3|SVOD
1405|cottagelife.com|P3|SVOD
1422|channelzero.com|#N/A|SVOD
1427|www.datatech.com|TVOD|TVOD
1431|www.kinosmith.com|TVOD|TVOD
1432|www.kinosmith.com|TVOD|TVOD
1439|warnerbros.com|TVOD|TVOD
1441|www.atlas.ca|TVOD|TVOD
1442|www.sony.com|TVOD|TVOD
1443|www.sony.com|TVOD|TVOD
1444|natgeowild.ca|P3|SVOD
1445|chch.com|P3|SVOD
1458|warnerbros.com|TVOD|TVOD
1459|www.foxmovies.com|TVOD|TVOD
1462|bellpresents_en.com|#N/A|SVOD
1463|bellpresents_fr.com|#N/A|SVOD
1468|www.foxseries.com|TVOD|TVOD
1469|www.foxseriesfrench.com|TVOD|TVOD
1470|www.elevation.com|TVOD|TVOD
1472|www.elevation.com|TVOD|TVOD
1476|www.disney.com|TVOD|TVOD
1480|worldfishingnetwork.com|P3|SVOD
1481|lovenature.com|P3|SVOD
1482|visiontv.com|#N/A|SVOD
1483|musiqueplus.com|P3|SVOD
